Catalog Search Results
<PRE>
#YYY/MM/DD HH:mm:SS.ss ET MAG  M    LAT     LON     DEPTH Q  EVID      NPH NGRM
1989/06/12 17:22:25.52 le 4.47 l    34.022 -118.178  15.5 A   661481  139  271
1990/01/11 01:22:10.30 le 4.01 l    35.225 -118.215   3.6 A  1049754  107  258
1990/12/18 16:56:43.09 le 4.25 l    35.374 -118.846   6.0 B   688784  106  266
1991/07/05 17:41:57.12 le 4.13 l    34.497 -118.556  10.9 A  2022113  132  311
1992/07/11 18:14:16.16 le 5.67 l    35.210 -118.067  10.7 A  3041390   83  365
1993/05/28 04:47:40.60 le 5.19 l    35.149 -119.104  21.4 A  3107503  157  362
1994/01/17 12:30:55.39 le 6.70 w    34.213 -118.537  18.4 A  3144585  160  428
1994/01/17 12:31:58.12 le 5.89 l    34.275 -118.493   6.0 C  3149646   40  346
1994/01/17 12:34:18.42 le 4.44 l    34.308 -118.475   6.0 C  3144599   11  346
1994/01/17 12:39:39.80 le 4.89 l    34.265 -118.540   6.0 C  3144652  119  367
1994/01/17 12:40:09.52 le 4.82 l    34.320 -118.507   6.0 C  3144673   28  352
1994/01/17 12:40:36.12 le 5.20 l    34.340 -118.614   6.0 C  3144694   18  352
1994/01/17 12:55:46.83 le 4.07 l    34.277 -118.578   6.0 C  3140674  104  364
1994/01/17 13:06:28.34 le 4.62 l    34.251 -118.550   6.0 C  3140678  103  409
1994/01/17 13:26:45.01 le 4.68 l    34.318 -118.456   6.0 C  3140684  112  406
1994/01/17 13:56:02.48 le 4.44 l    34.293 -118.621   6.0 C  3140691  123  394
1994/01/17 14:14:30.63 le 4.45 l    34.331 -118.445   6.0 C  3140870  110  403
1994/01/17 15:07:03.17 le 4.20 l    34.304 -118.474   2.6 A  3140728  158  400
1994/01/17 15:07:35.46 le 4.14 l    34.307 -118.467   1.6 A  2138698   80  397
1994/01/17 15:54:10.76 le 4.85 l    34.376 -118.627  13.0 A  3140766  141  403
1994/01/17 17:56:08.21 le 4.63 l    34.228 -118.572  19.2 A  3140853  149  397
1994/01/17 19:43:53.38 le 4.05 l    34.368 -118.637  13.9 A  3141205  118  394
1994/01/17 20:46:02.40 le 4.85 l    34.302 -118.565   6.0 C  3141219  153  411
1994/01/17 22:31:53.73 le 4.12 l    34.339 -118.442   6.0 C  3141242   96  402
1994/01/17 23:33:30.69 le 5.58 l    34.326 -118.698   9.8 A  3141273  134  415
1994/01/18 00:39:35.02 le 4.40 l    34.379 -118.564   7.2 A  3141108  111  376
1994/01/18 00:40:04.09 le 4.21 l    34.394 -118.543   0.0 A  2150850   45  349
1994/01/18 00:43:08.89 le 5.24 l    34.377 -118.698  11.3 A  3141286  139  373
1994/01/18 04:01:26.72 le 4.26 l    34.358 -118.623   0.9 A  3141180  117  415
1994/01/18 07:23:56.02 le 4.04 l    34.333 -118.623  14.8 A  3141341  127  430
1994/01/18 11:35:09.90 le 4.19 l    34.218 -118.607  12.1 A  3141570   90  403
1994/01/18 13:24:44.13 le 4.32 l    34.319 -118.558   1.7 A  3141584  118  388
1994/01/18 15:23:46.89 le 4.84 l    34.379 -118.561   7.7 A  3141597  134  424
1994/01/19 04:40:47.00 le 4.34 l    34.361 -118.571   2.6 A  3142081  146  436
1994/01/19 04:43:14.57 le 4.04 l    34.366 -118.709   6.0 C  3142082  126  370
1994/01/19 09:13:10.90 le 4.05 l    34.304 -118.737  13.0 A  3142087  125  412
1994/01/19 14:09:14.83 le 4.52 l    34.215 -118.510  17.5 A  3142198  158  436
1994/01/19 21:09:28.61 le 5.06 l    34.379 -118.712  14.4 A  3142595  144  468
1994/01/19 21:11:44.90 le 5.07 l    34.378 -118.619  11.3 A  3142597  104  391
1994/01/21 18:39:15.26 le 4.53 l    34.301 -118.466  10.6 A  3145627  159  551
1994/01/21 18:39:47.08 le 4.00 l    34.297 -118.479  11.9 A  3159009   34  428
1994/01/21 18:42:28.77 le 4.25 l    34.310 -118.474   7.9 A  3143541   93  482
1994/01/21 18:52:44.23 le 4.31 l    34.302 -118.452   7.6 A  3143546  146  539
1994/01/21 18:53:44.57 le 4.32 l    34.298 -118.458   7.7 A  3143547   84  515
1994/01/22 22:54:10.66 le 4.64 c    34.393 -118.568   7.6 A  3187383   12   81
1994/01/23 08:55:08.66 le 4.07 l    34.300 -118.428   6.0 A  3144303  139  566
1994/01/24 04:15:18.82 le 4.59 l    34.347 -118.552   6.5 A  3145150  174  578
1994/01/24 05:50:24.34 le 4.30 l    34.361 -118.628  12.1 A  3145168  159  578
1994/01/24 05:54:21.07 le 4.20 l    34.364 -118.627  10.9 A  3145171  147  569
1994/01/27 17:19:58.83 le 4.57 l    34.273 -118.563  14.9 A  3146628  146  584
1994/01/28 20:09:53.43 le 4.21 l    34.375 -118.494   0.7 A  3146983   81  590
1994/01/29 11:20:35.97 le 5.06 l    34.306 -118.579   1.1 A  3147406  134  622
1994/01/29 12:16:56.35 le 4.33 l    34.278 -118.611   2.6 A  3147259  122  599
1994/02/06 13:19:27.02 le 4.09 l    34.292 -118.476   9.3 A  3150210  154  587
1994/02/25 12:59:12.59 le 4.03 l    34.357 -118.480   1.2 A  3155150  154  557
1994/03/20 21:20:12.26 le 5.24 l    34.231 -118.475  13.1 A  3159411  176  427
1994/05/25 12:56:57.05 le 4.40 l    34.312 -118.393   7.0 A  3169078  155  420
1994/06/15 05:59:48.63 le 4.13 l    34.311 -118.398   7.4 A  3172383  160  423
1994/12/06 03:48:34.49 le 4.54 l    34.293 -118.389   9.0 A  3195727  167  440
1995/02/19 21:24:18.07 le 4.34 l    34.049 -118.915  15.6 A  3203644  163  419
1995/06/26 08:40:28.94 le 5.02 l    34.394 -118.669  13.3 A  3217586  187  426
1995/12/27 09:42:58.51 le 4.20 h    34.245 -118.599   6.0 C  3247748   12   57
1995/12/31 21:48:23.06 le 4.09 l    35.098 -118.306   7.9 A  3248154  113  409
1996/03/20 07:37:59.76 le 4.11 l    34.362 -118.615  13.0 A  3258844  152  345
1996/05/01 19:49:56.42 le 4.09 l    34.354 -118.703  14.4 A  3263467  160  456
1996/10/23 22:09:29.38 le 4.07 l    34.481 -119.353  14.5 A  7047275  133  523
1997/04/26 10:37:30.67 le 5.07 l    34.369 -118.670  16.4 A  9008753  183  706
1997/04/27 11:09:28.38 le 4.92 l    34.377 -118.649  15.2 A  9008934  174  664
1997/05/06 19:12:53.76 le 4.49 l    35.453 -118.431   6.0 A  9009850  152  680
1999/07/11 18:20:46.89 le 4.35 l    35.731 -118.478   5.7 A  9095528   56 1723
2000/12/24 01:04:21.87 le 4.42 l    34.918 -119.020  13.9 A  9171679  102 3343
2001/01/14 02:26:14.06 le 4.26 l    34.284 -118.404   8.8 A  9173365  177  916
2001/01/14 02:50:53.69 le 4.05 l    34.289 -118.403   8.4 A  9173374  173  829
2001/05/17 21:53:45.57 le 4.25 l    35.799 -118.044   8.7 A  9653349  286 1552
2001/05/17 22:56:45.85 le 4.10 l    35.796 -118.046   8.4 A  9653493   74 1559
2001/09/09 23:59:18.04 le 4.24 l    34.059 -118.388   7.9 A  9703873  140 1531
2002/01/29 05:53:28.93 le 4.18 l    34.361 -118.657  14.2 A  9753485  129 1596
2002/11/12 16:48:25.82 le 4.22 l    35.962 -120.568   9.4 C 13909920   39 1678
2003/01/25 09:16:10.22 le 4.54 l    35.318 -118.654   5.6 C  9882329  100 1769
2004/02/14 12:43:11.38 le 4.34 l    35.038 -119.132  11.7 A  9983429  192 1918
2004/05/09 08:57:17.30 le 4.40 l    34.395 -120.022   4.4 A 10006857  256 1930
2004/07/24 12:55:19.90 le 4.27 l    34.380 -119.436   3.6 A 14077668  224 1929
2004/09/29 22:54:54.24 le 5.03 w    35.390 -118.624   3.5 A 14095628  246 1902
2005/04/16 19:18:13.55 le 4.59 w    35.027 -119.178  10.3 A 14138080  292 1892
2005/05/06 02:29:09.51 le 4.06 l    35.031 -119.181  11.6 A 10097009  241 1896
2005/08/06 05:40:33.46 le 4.27 l    36.139 -118.045   0.0 A 14169456  117 1899
2005/09/22 20:24:04.88 le 4.47 l    35.034 -119.010  11.2 A 14186608  101 1889
2005/09/22 20:24:48.62 le 4.69 w    35.043 -119.014  11.0 A 14186612  208 1889
2005/09/22 20:30:52.41 le 4.18 l    35.045 -119.007  11.2 A 14186628   77 1889
2007/08/09 07:58:49.59 le 4.66 l    34.300 -118.620   7.6 A 14312160  303 2005
2008/05/01 08:11:43.22 le 4.43 l    35.473 -118.425   6.0 C 10321585  271 2019
2009/05/02 01:11:13.66 le 4.42 l    34.067 -118.882  14.2 A 10403777  179 2022
2009/05/08 20:27:13.95 le 4.17 l    34.440 -119.183   7.6 A 10406593  247 2071
2010/05/08 19:23:06.27 le 4.27 l    35.008 -119.268  17.2 A 10657701   99 2067
2011/09/01 20:47:07.95 le 4.24 l    34.339 -118.475   7.3 A 11001205  209 2213
2013/05/29 14:38:03.27 le 4.80 w    34.413 -119.926   8.0 A 15350729   39 2500
2013/07/24 16:46:02.63 le 4.29 l    35.486 -118.287   6.6 A 11339042  124 2459
2013/08/24 01:16:30.99 le 4.06 w    34.567 -120.957   3.2 C 15396097   44 2328
2013/08/25 18:50:28.71 le 4.20 w    35.480 -118.285   2.3 A 15396881  120 2312
2013/12/23 13:39:26.30 le 4.30 w    36.141 -118.065   2.1 A 15447161   54 2438

# Number of events: 232
</PRE>
